Rating,URN
Outstanding,101941
Good,101943
Unknown,101944
Unknown,101946
Unknown,101947
Inadequate,101948
Outstanding,101953
Unknown,101954
Good,101955
Requires Improvement,101957
Inadequate,101958
Good,101959
Good,101964
Good,101965
Good,101969
Good,101970
Outstanding,101971
Good,102045
Outstanding,102048
Requires Improvement,102049
Good,102052
Outstanding,102053
Outstanding,102055
Good,102056
Good,102058
Unknown,102060
Unknown,102061
Outstanding,102065
Good,102066
Outstanding,102067
Good,102069
Outstanding,102070
Good,102153
Good,102154
Outstanding,102156
Outstanding,102157
Unknown,102162
Unknown,102163
Requires Improvement,102171
Good,102175
Good,102176
Good,102178
Outstanding,102239
Outstanding,102243
Unknown,102245
Unknown,102247
Unknown,102248
Unknown,102249
Unknown,102256
Unknown,102257
Outstanding,102260
Unknown,102358
Good,102360
Good,102362
Requires Improvement,102449
Good,102451
Unknown,102452
Unknown,102453
Unknown,102457
Unknown,102458
Good,102462
Outstanding,102463
Requires Improvement,102464
Outstanding,102539
Outstanding,102545
Good,102550
Unknown,102551
Good,102554
Outstanding,102555
Good,102599
Unknown,102610
Unknown,102611
Unknown,102612
Unknown,102615
Unknown,102619
Unknown,102620
Outstanding,102673
Good,102674
Outstanding,102679
Good,102681
Outstanding,102683
Unknown,102684
Unknown,102692
Good,102693
Outstanding,102694
Good,102697
Outstanding,102698
Outstanding,102699
Outstanding,102776
Good,102777
Good,102778
Outstanding,102782
Inadequate,102784
Outstanding,102786
Outstanding,102787
Requires Improvement,102849
Outstanding,102850
Good,102851
Outstanding,102852
Good,102854
Outstanding,102856
Outstanding,102857
Good,102858
Outstanding,102860
Good,102861
Unknown,102864
Unknown,102873
Unknown,102875
Good,102878
Outstanding,102879
Good,102929
Unknown,102931
Unknown,102932
Unknown,102934
Unknown,102936
Unknown,102937
Unknown,102942
Unknown,102943
Good,102945
Unknown,102946
Unknown,102947
Outstanding,102948
Good,102950
Good,103009
Outstanding,103013
Unknown,103015
Unknown,103022
Good,103025
Good,103080
Good,103094
Good,103096
Good,103097
Good,103100
Good,103101
Outstanding,103103
Good,103105
Good,103106
Unknown,103110
Unknown,103112
Good,103119
Inadequate,103258
Good,103483
Good,103486
Requires Improvement,103493
Outstanding,103497
Outstanding,103498
Good,103499
Inadequate,103500
Outstanding,103501
Good,103503
Requires Improvement,103509
Outstanding,103514
Good,103519
Requires Improvement,103522
Inadequate,103529
Outstanding,103531
Good,103534
Good,103537
Good,103538
Good,103539
Good,103541
Good,103560
Good,103562
Good,103563
Unknown,103564
Unknown,103566
Unknown,103567
Unknown,103568
Unknown,103576
Unknown,103584
Unknown,103585
Good,103586
Outstanding,103587
Good,103591
Inadequate,103592
Good,103595
Outstanding,103601
Good,103605
Good,103606
Inadequate,103609
Good,103611
Good,103613
Outstanding,103614
Inadequate,103616
Inadequate,103619
Good,103622
Outstanding,103625
Good,103628
Good,103632
Requires Improvement,103732
Good,103742
Good,103743
Unknown,103747
Unknown,103750
Unknown,103751
Outstanding,103760
Good,103765
Good,103854
Good,103855
Good,103858
Good,103870
Good,103876
Good,103877
Outstanding,103878
Outstanding,103880
Good,103881
Good,103882
Good,103883
Good,104012
Good,104018
Good,104019
Inadequate,104020
Good,104024
Outstanding,104119
Unknown,104123
Unknown,104124
Outstanding,104128
Outstanding,104130
Good,104131
Outstanding,104132
Outstanding,104133
Good,104248
Good,104255
Good,104259
Good,104266
Requires Improvement,104267
Outstanding,104269
Inadequate,104271
Good,104272
Good,104387
Good,104395
Unknown,104407
Unknown,104411
Requires Improvement,104412
Good,104414
Good,104415
Outstanding,104417
Good,104495
Outstanding,104498
Good,104688
Inadequate,104692
Inadequate,104693
Inadequate,104696
Requires Improvement,104698
Requires Improvement,104700
Outstanding,104703
Outstanding,104705
Requires Improvement,104706
Good,104712
Requires Improvement,104713
Requires Improvement,104714
Good,104715
Requires Improvement,104717
Good,104721
Good,104730
Outstanding,104734
Outstanding,104735
Outstanding,104736
Good,104739
Good,104742
Outstanding,104748
Outstanding,104749
Inadequate,104827
Good,104829
Inadequate,104833
Requires Improvement,104834
Good,104835
Unknown,104837
Requires Improvement,104839
Good,104843
Outstanding,104956
Inadequate,104959
Requires Improvement,104960
Requires Improvement,104961
Good,104962
Requires Improvement,104964
Unknown,104972
Unknown,104973
Unknown,104974
Good,104977
Outstanding,104979
Good,104980
Good,104982
Outstanding,104983
Requires Improvement,105097
Good,105101
Good,105103
Requires Improvement,105106
Requires Improvement,105107
Unknown,105121
Unknown,105123
Outstanding,105129
Outstanding,105130
Good,105131
Requires Improvement,105133
Good,105135
Outstanding,105137
Good,105252
Good,105253
Requires Improvement,105262
Good,105263
Good,105264
Good,105269
Unknown,105271
Unknown,105272
Good,105276
Outstanding,105277
Good,105278
Good,105280
Good,105354
Good,105355
Good,105357
Requires Improvement,105358
Good,105360
Requires Improvement,105361
Inadequate,105362
Inadequate,105364
Good,105365
Requires Improvement,105366
Inadequate,105367
Good,105372
Unknown,105373
Outstanding,105378
Good,105560
Outstanding,105564
Good,105574
Good,105576
Inadequate,105577
Good,105581
Unknown,105588
Unknown,105591
Unknown,105592
Unknown,105594
Unknown,105595
Good,105596
Unknown,105601
Good,105608
Good,105614
Inadequate,105622
Good,105623
Good,105736
Outstanding,105738
Unknown,105745
Good,105748
Inadequate,105834
Good,105837
Good,105839
Inadequate,105840
Good,105844
Requires Improvement,105845
Good,105855
Good,105861
Requires Improvement,105975
Outstanding,105986
Requires Improvement,105989
Unknown,105992
Requires Improvement,105993
Good,105996
Requires Improvement,105999
Good,106003
Good,106004
Requires Improvement,106133
Good,106135
Inadequate,106136
Good,106138
Requires Improvement,106139
Good,106142
Good,106143
Inadequate,106144
Inadequate,106150
Unknown,106151
Unknown,106156
Unknown,106157
Good,106158
Good,106162
Outstanding,106166
Good,106167
Outstanding,106172
Outstanding,106173
Outstanding,106266
Requires Improvement,106268
Outstanding,106270
Good,106271
Good,106276
Good,106278
Outstanding,106279
Requires Improvement,106280
Good,106365
Good,106368
Good,106370
Inadequate,106372
Good,106375
Outstanding,106376
Outstanding,106391
Good,106521
Good,106523
Good,106525
Inadequate,106528
Good,106529
Good,106534
Good,106535
Good,106537
Good,106538
Good,106540
Outstanding,106543
Inadequate,106651
Good,106653
Requires Improvement,106656
Unknown,106812
Good,106814
Good,106817
Good,106818
Inadequate,106954
Good,106962
Good,106965
Good,106966
Good,106970
Inadequate,107135
Good,107140
Unknown,107162
Unknown,107163
Unknown,107166
Good,107168
Good,107169
Good,107178
Good,107395
Outstanding,107413
Requires Improvement,107428
Good,107439
Inadequate,107440
Unknown,107455
Good,107460
Good,107461
Inadequate,107561
Good,107562
Inadequate,107563
Good,107564
Unknown,107583
Unknown,107585
Unknown,107586
Outstanding,107588
Outstanding,107589
Inadequate,107755
Good,107756
Inadequate,107758
Inadequate,107761
Good,107763
Good,107769
Good,107775
Good,107778
Good,107780
Good,107782
Good,107786
Inadequate,107791
Requires Improvement,107792
Good,107794
Inadequate,107795
Outstanding,107796
Good,107797
Outstanding,107799
Good,107801
Good,107802
Good,108055
Outstanding,108057
Good,108058
Good,108059
Good,108064
Good,108075
Outstanding,108076
Good,108079
Requires Improvement,108081
Good,108083
Good,108085
Good,108088
Good,108095
Good,108096
Good,108097
Unknown,108104
Inadequate,108110
Unknown,108113
Unknown,108114
Unknown,108117
Good,108119
Requires Improvement,108120
Good,108123
Outstanding,108133
Good,108271
Unknown,108300
Unknown,108303
Unknown,108305
Unknown,108306
Good,108307
Good,108311
Good,108410
Requires Improvement,108414
Outstanding,108420
Good,108426
Good,108519
Good,108521
Inadequate,108524
Inadequate,108531
Unknown,108538
Unknown,108542
Unknown,108544
Unknown,108547
Unknown,108549
Good,108551
Good,108627
Inadequate,108628
Good,108635
Outstanding,108636
Requires Improvement,108637
Outstanding,108638
Good,108639
Good,108640
Good,108641
Good,108642
Good,108644
Requires Improvement,108645
Good,108649
Good,108652
Good,108653
Outstanding,108657
Good,108727
Good,108730
Good,108731
Good,108738
Outstanding,108741
Requires Improvement,108862
Good,108870
Unknown,108873
Good,108877
Outstanding,108886
Good,109319
Requires Improvement,109324
Outstanding,109327
Good,109328
Outstanding,109329
Good,109331
Unknown,109334
Unknown,109335
Unknown,109336
Unknown,109337
Requires Improvement,109342
Unknown,109346
Unknown,109347
Unknown,109348
Good,109353
Unknown,109357
Unknown,109360
Unknown,109361
Unknown,109362
Unknown,109369
Unknown,109370
Unknown,109371
Unknown,109374
Unknown,109379
Good,109382
Good,109385
Good,109386
Good,109391
Good,109393
Good,109403
Good,109406
Good,109407
Good,109409
Good,109410
Good,109661
Outstanding,109662
Good,109669
Good,109676
Good,109686
Good,109689
Good,109690
Good,109694
Good,109707
Requires Improvement,109709
Requires Improvement,109713
Unknown,109717
Unknown,109718
Unknown,109721
Unknown,109727
Unknown,109728
Good,109739
Good,109742
Outstanding,109744
Good,109746
Good,110048
Good,110060
Good,110062
Good,110063
Good,110068
Good,110069
Good,110071
Good,110078
Outstanding,110084
Good,110086
Outstanding,110102
Good,110107
Unknown,110109
Unknown,110110
Unknown,110111
Unknown,110117
Unknown,110118
Unknown,110119
Unknown,110120
Unknown,110121
Unknown,110122
Unknown,110123
Unknown,110125
Unknown,110127
Unknown,110128
Unknown,110131
Unknown,110132
Unknown,110133
Unknown,110134
Unknown,110135
Unknown,110136
Unknown,110137
Unknown,110138
Unknown,110140
Unknown,110147
Unknown,110148
Unknown,110151
Unknown,110152
Unknown,110153
Unknown,110155
Unknown,110158
Unknown,110159
Good,110162
Unknown,110163
Unknown,110165
Good,110167
Good,110169
Good,110178
Good,110180
Good,110181
Outstanding,110182
Good,110183
Inadequate,110185
Outstanding,110186
Outstanding,110187
Inadequate,110189
Good,110190
Good,110484
Requires Improvement,110488
Requires Improvement,110497
Good,110500
Good,110516
Good,110517
Good,110532
Good,110533
Outstanding,110536
Unknown,110537
Unknown,110540
Unknown,110541
Unknown,110544
Unknown,110545
Unknown,110546
Unknown,110547
Unknown,110548
Unknown,110549
Unknown,110550
Unknown,110551
Unknown,110552
Unknown,110553
Unknown,110555
Unknown,110563
Good,110564
Unknown,110567
Good,110570
Outstanding,110575
Good,110576
Good,110578
Outstanding,110579
Good,110581
Good,110582
Good,110584
Outstanding,110585
Outstanding,110587
Good,110592
Good,110882
Good,110907
Unknown,110910
Unknown,110911
Unknown,110912
Unknown,110913
Unknown,110914
Unknown,110915
Unknown,110916
Good,110920
Unknown,110921
Unknown,110923
Unknown,110924
Unknown,110925
Unknown,110926
Outstanding,110930
Good,110931
Good,110932
Unknown,110934
Unknown,110935
Good,110943
Good,110948
Outstanding,110951
Good,111396
Good,111410
Good,111414
Good,111417
Requires Improvement,111419
Good,111422
Outstanding,111424
Requires Improvement,111429
Good,111430
Good,111436
Good,111440
Good,111443
Good,111450
Inadequate,111451
Good,111454
Good,111456
Good,111457
Unknown,111471
Unknown,111472
Unknown,111473
Unknown,111474
Unknown,111478
Unknown,111482
Unknown,111483
Unknown,111484
Unknown,111485
Unknown,111486
Good,111494
Outstanding,111495
Good,111496
Good,111498
Good,111499
Good,111501
Outstanding,111503
Outstanding,111504
Outstanding,111505
Outstanding,111507
Requires Improvement,111508
Good,111511
Good,111514
Outstanding,111515
Good,111517
Inadequate,111724
Inadequate,111726
Good,111731
Good,111748
Unknown,111767
Unknown,111768
Unknown,111769
Good,111773
Good,111777
Inadequate,112038
Good,112039
Good,112041
Good,112045
Requires Improvement,112052
Good,112054
Good,112055
Good,112067
Unknown,112071
Unknown,112075
Unknown,112076
Unknown,112077
Unknown,112082
Good,112375
Good,112377
Good,112378
Good,112379
Good,112382
Good,112383
Good,112384
Good,112385
Requires Improvement,112388
Requires Improvement,112393
Outstanding,112397
Good,112398
Requires Improvement,112399
Good,112400
Good,112401
Unknown,112442
Unknown,112445
Unknown,112446
Unknown,112451
Good,112452
Unknown,112453
Good,112456
Outstanding,112461
Outstanding,112464
Good,112465
Good,112466
Good,112932
Inadequate,112933
Good,112935
Good,112936
Requires Improvement,112938
Good,112939
Good,112949
Good,112950
Good,112951
Outstanding,112956
Inadequate,112957
Requires Improvement,112958
Inadequate,112959
Good,112961
Requires Improvement,112966
Good,112968
Outstanding,112969
Good,112970
Requires Improvement,112989
Requires Improvement,112991
Good,112996
Unknown,113002
Unknown,113003
Unknown,113004
Unknown,113007
Unknown,113009
Unknown,113010
Unknown,113013
Inadequate,113014
Unknown,113017
Good,113019
Good,113021
Unknown,113022
Requires Improvement,113026
Unknown,113028
Good,113031
Outstanding,113032
Outstanding,113033
Outstanding,113036
Good,113040
Outstanding,113042
Good,113044
Outstanding,113046
Outstanding,113047
Good,113048
Good,113502
Good,113503
Good,113512
Requires Improvement,113514
Good,113518
Good,113520
Good,113526
Good,113532
Requires Improvement,113533
Good,113548
Inadequate,113550
Good,113551
Good,113553
Unknown,113561
Requires Improvement,113562
Good,113567
Outstanding,113571
Unknown,113573
Unknown,113574
Unknown,113575
Unknown,113579
Unknown,113583
Unknown,113587
Inadequate,113603
Unknown,113604
Unknown,113605
Unknown,113606
Unknown,113607
Unknown,113608
Unknown,113609
Requires Improvement,113616
Good,113619
Requires Improvement,113623
Inadequate,113632
Outstanding,113633
Good,113634
Good,113635
Good,113636
Good,113637
Good,113638
Good,113641
Good,113643
Good,113644
Good,113645
Outstanding,113648
Good,113649
Good,113650
Good,113651
Inadequate,113652
Good,113653
Requires Improvement,113654
Inadequate,113656
Good,113853
Good,113854
Good,113855
Good,113861
Good,113863
Good,113875
Good,113878
Good,113882
Good,113884
Requires Improvement,113888
Good,113893
Inadequate,113896
Outstanding,113901
Inadequate,113902
Good,113907
Unknown,113910
Unknown,113911
Unknown,113912
Unknown,113914
Unknown,113915
Unknown,113917
Unknown,113918
Unknown,113919
Unknown,113920
Unknown,113922
Unknown,113923
Unknown,113924
Unknown,113927
Unknown,113931
Unknown,113932
Unknown,113937
Good,113942
Good,113943
Unknown,113945
Unknown,113948
Unknown,113949
Good,113950
Good,113952
Good,113954
Good,113955
Outstanding,113956
Good,113957
Outstanding,113960
Outstanding,113961
Outstanding,113965
Good,114286
Requires Improvement,114289
Inadequate,114293
Good,114297
Requires Improvement,114301
Requires Improvement,114305
Good,114308
Requires Improvement,114311
Outstanding,114312
Requires Improvement,114313
Good,114315
Outstanding,114317
Good,114327
Unknown,114330
Unknown,114331
Unknown,114335
Unknown,114336
Good,114337
Requires Improvement,114340
Good,114345
Inadequate,114347
Good,114349
Good,114579
Good,114580
Good,114581
Good,114584
Good,114587
Good,114588
Good,114590
Good,114591
Good,114592
Good,114594
Good,114598
Good,114606
Good,114607
Good,114608
Good,114611
Outstanding,114612
Unknown,114614
Unknown,114616
Good,114619
Unknown,114621
Unknown,114622
Unknown,114623
Unknown,114624
Inadequate,114625
Unknown,114626
Unknown,114627
Unknown,114629
Unknown,114633
Unknown,114634
Good,114635
Unknown,114639
Outstanding,114640
Good,114645
Good,114646
Unknown,114650
Unknown,114651
Unknown,114652
Unknown,114653
Requires Improvement,114656
Unknown,114657
Unknown,114658
Unknown,114659
Requires Improvement,114660
Inadequate,114661
Good,114664
Good,114677
Requires Improvement,114678
Outstanding,114680
Outstanding,114682
Outstanding,114687
Good,114688
Good,115237
Good,115238
Good,115239
Outstanding,115322
Good,115382
Unknown,115386
Unknown,115387
Unknown,115392
Unknown,115394
Unknown,115395
Unknown,115396
Unknown,115399
Unknown,115402
Unknown,115409
Unknown,115410
Unknown,115417
Good,115425
Inadequate,115426
Unknown,115429
Good,115436
Good,115437
Good,115457
Good,115462
Good,115464
Good,115466
Outstanding,115469
Outstanding,115471
Good,115475
Good,115720
Requires Improvement,115723
Good,115758
Good,115772
Good,115775
Unknown,115780
Unknown,115783
Unknown,115785
Unknown,115787
Unknown,115788
Unknown,115789
Inadequate,115793
Unknown,115794
Unknown,115795
Unknown,115796
Unknown,115797
Unknown,115798
Good,115802
Good,115808
Good,115809
Good,115810
Good,115813
Good,115821
Good,115823
Inadequate,115824
Outstanding,115825
Good,116234
Good,116405
Good,116407
Good,116411
Good,116412
Good,116413
Good,116418
Good,116419
Good,116422
Good,116423
Good,116424
Good,116426
Requires Improvement,116427
Good,116428
Good,116430
Good,116431
Requires Improvement,116432
Good,116433
Good,116436
Good,116437
Good,116438
Good,116440
Good,116441
Good,116442
Good,116445
Good,116446
Requires Improvement,116447
Good,116448
Good,116450
Good,116453
Requires Improvement,116454
Good,116458
Good,116463
Requires Improvement,116465
Good,116466
Outstanding,116468
Good,116469
Good,116473
Good,116475
Good,116478
Good,116498
Outstanding,116502
Good,116504
Outstanding,116505
Good,116506
Good,116507
Good,116511
Unknown,116513
Unknown,116515
Unknown,116516
Unknown,116517
Unknown,116518
Unknown,116519
Unknown,116520
Unknown,116521
Unknown,116522
Unknown,116524
Unknown,116525
Unknown,116526
Unknown,116527
Unknown,116528
Unknown,116532
Unknown,116534
Unknown,116535
Unknown,116536
Unknown,116537
Unknown,116542
Unknown,116543
Unknown,116550
Unknown,116551
Unknown,116553
Unknown,116555
Unknown,116558
Unknown,116559
Good,116563
Good,116564
Outstanding,116565
Inadequate,116567
Unknown,116568
Unknown,116573
Good,116574
Unknown,116575
Unknown,116579
Unknown,116580
Unknown,116581
Unknown,116582
Unknown,116583
Good,116584
Outstanding,116586
Inadequate,116588
Outstanding,116589
Good,116590
Good,116593
Good,116594
Good,116595
Outstanding,116603
Outstanding,116609
Good,116611
Good,116614
Good,116617
Good,116618
Good,116622
Good,116624
Outstanding,116636
Good,116637
Requires Improvement,116639
Good,116640
Outstanding,116641
Requires Improvement,116928
Inadequate,116932
Requires Improvement,116936
Good,116941
Good,116952
Outstanding,116957
Good,116958
Good,116959
Good,116960
Good,116967
Good,116984
Requires Improvement,116991
Outstanding,116992
Good,116999
Unknown,117002
Unknown,117003
Unknown,117011
Unknown,117012
Unknown,117017
Unknown,117018
Unknown,117020
Unknown,117022
Good,117030
Unknown,117032
Requires Improvement,117033
Unknown,117034
Inadequate,117035
Unknown,117036
Unknown,117037
Unknown,117038
Good,117041
Good,117042
Requires Improvement,117044
Unknown,117045
Unknown,117046
Outstanding,117048
Good,117049
Good,117055
Good,117056
Outstanding,117062
Good,117064
Good,117499
Good,117500
Requires Improvement,117504
Requires Improvement,117515
Requires Improvement,117518
Inadequate,117528
Good,117530
Good,117534
Good,117537
Good,117552
Good,117554
Good,117555
Good,117557
Outstanding,117577
Good,117578
Good,117591
Outstanding,117594
Unknown,117600
Unknown,117601
Unknown,117602
Unknown,117604
Unknown,117605
Unknown,117606
Unknown,117607
Unknown,117608
Unknown,117609
Unknown,117610
Unknown,117611
Unknown,117612
Unknown,117613
Unknown,117614
Unknown,117616
Unknown,117617
Unknown,117618
Unknown,117620
Unknown,117621
Unknown,117622
Unknown,117623
Unknown,117630
Inadequate,117631
Unknown,117633
Unknown,117636
Unknown,117638
Unknown,117640
Unknown,117641
Unknown,117643
Good,117646
Unknown,117647
Unknown,117648
Unknown,117649
Good,117650
Unknown,117651
Unknown,117657
Good,117665
Good,117667
Good,117669
Requires Improvement,117671
Good,117672
Requires Improvement,117674
Good,117679
Outstanding,117680
Outstanding,117681
Outstanding,117682
Good,117683
Outstanding,117684
Outstanding,117685
Good,117686
Good,117690
Good,118072
Requires Improvement,118073
Good,118075
Requires Improvement,118076
Inadequate,118080
Good,118082
Requires Improvement,118085
Good,118097
Good,118109
Good,118111
Good,118112
Unknown,118124
Unknown,118126
Unknown,118131
Unknown,118132
Good,118138
Good,118140
Good,118144
Outstanding,118145
Outstanding,118146
Good,118148
Unknown,118223
Good,118225
Good,118226
Good,118227
Good,118785
Good,118788
Outstanding,118789
Good,118790
Inadequate,118796
Outstanding,118806
Good,118832
Good,118835
Outstanding,118836
Good,118840
Outstanding,118843
Good,118879
Good,118882
Outstanding,118884
Requires Improvement,118897
Requires Improvement,118898
Good,118903
Good,118908
Good,118919
Good,118928
Good,118931
Good,118933
Unknown,118937
Unknown,118938
Unknown,118939
Unknown,118940
Unknown,118941
Unknown,118942
Unknown,118943
Unknown,118944
Unknown,118946
Unknown,118947
Unknown,118948
Unknown,118949
Unknown,118950
Unknown,118951
Unknown,118952
Unknown,118953
Unknown,118954
Unknown,118955
Unknown,118957
Unknown,118958
Unknown,118959
Unknown,118960
Unknown,118973
Unknown,118978
Unknown,118981
Unknown,118990
Unknown,118991
Inadequate,118993
Good,118995
Unknown,118996
Unknown,118998
Unknown,119001
Unknown,119002
Outstanding,119006
Unknown,119007
Good,119009
Unknown,119010
Requires Improvement,119013
Good,119015
Good,119021
Good,119026
Good,119027
Good,119029
Good,119032
Outstanding,119036
Good,119037
Outstanding,119040
Good,119041
Outstanding,119042
Outstanding,119044
Good,119045
Good,119046
Requires Improvement,119050
Good,119051
Outstanding,119052
Outstanding,119055
Good,119056
Good,119058
Good,119059
Good,119062
Good,119707
Good,119714
Good,119716
Requires Improvement,119721
Good,119722
Requires Improvement,119723
Good,119740
Requires Improvement,119743
Requires Improvement,119744
Inadequate,119745
Requires Improvement,119749
Good,119751
Good,119753
Good,119757
Outstanding,119759
Inadequate,119761
Outstanding,119765
Good,119767
Good,119770
Requires Improvement,119771
Requires Improvement,119773
Requires Improvement,119774
Outstanding,119775
Outstanding,119779
Good,119780
Good,119781
Requires Improvement,119782
Good,119784
Requires Improvement,119785
Good,119788
Good,119789
Requires Improvement,119790
Good,119792
Good,119793
Good,119794
Good,119797
Good,119798
Good,119799
Good,119800
Outstanding,119801
Outstanding,119802
Good,119803
Requires Improvement,119804
Requires Improvement,119813
Outstanding,119814
Good,119816
Unknown,119817
Unknown,119818
Good,119819
Unknown,119820
Unknown,119824
Unknown,119826
Good,119833
Unknown,119835
Unknown,119836
Outstanding,119845
Good,119849
Unknown,119851
Good,119853
Requires Improvement,119856
Good,119858
Outstanding,119861
Good,119866
Outstanding,119868
Good,119871
Inadequate,119873
Good,119876
Outstanding,119877
Good,119878
Good,119880
Outstanding,119883
Outstanding,119887
Good,119889
Outstanding,119892
Good,119893
Good,119895
Outstanding,119897
Good,119898
Good,120274
Good,120277
Outstanding,120279
Good,120281
Outstanding,120286
Good,120292
Requires Improvement,120297
Good,120298
Unknown,120314
Unknown,120316
Unknown,120317
Unknown,120318
Unknown,120320
Unknown,120322
Unknown,120324
Good,120325
Good,120326
Good,120330
Outstanding,120331
Unknown,120332
Unknown,120333
Unknown,120334
Unknown,120339
Good,120341
Good,120345
Good,120348
Outstanding,120352
Good,120361
Outstanding,120362
Outstanding,120642
Inadequate,120645
Outstanding,120655
Unknown,120724
Unknown,120727
Unknown,120729
Unknown,120732
Unknown,120735
Good,120740
Good,120754
Outstanding,120755
Good,120763
Requires Improvement,121154
Good,121164
Unknown,121221
Unknown,121222
Unknown,121223
Unknown,121224
Unknown,121225
Unknown,121227
Unknown,121229
Unknown,121230
Unknown,121231
Unknown,121237
Unknown,121241
Unknown,121242
Unknown,121245
Good,121246
Inadequate,121250
Good,121251
Good,121252
Good,121254
Good,121256
Good,121257
Outstanding,121258
Good,121260
Outstanding,121261
Outstanding,121262
Outstanding,121264
Outstanding,121265
Good,121663
Outstanding,121665
Good,121666
Good,121667
Good,121668
Good,121670
Inadequate,121671
Outstanding,121673
Inadequate,121674
Inadequate,121675
Inadequate,121678
Good,121679
Good,121681
Good,121687
Good,121689
Outstanding,121690
Outstanding,121694
Good,121695
Good,121699
Good,121700
Good,121702
Good,121711
Good,121714
Outstanding,121715
Outstanding,121716
Outstanding,121717
Requires Improvement,121718
Outstanding,121720
Unknown,121722
Unknown,121724
Unknown,121725
Unknown,121726
Unknown,121730
Unknown,121731
Unknown,121732
Unknown,121733
Unknown,121735
Unknown,121738
Unknown,121740
Unknown,121741
Unknown,121743
Unknown,121748
Unknown,121749
Unknown,121751
Outstanding,121752
Unknown,121758
Inadequate,121759
Good,121764
Good,121765
Good,121766
Good,121771
Outstanding,121772
Outstanding,121775
Outstanding,121776
Good,121778
Good,121779
Inadequate,121780
Good,122059
Good,122066
Unknown,122125
Unknown,122127
Unknown,122129
Unknown,122131
Unknown,122133
Good,122136
Good,122137
Satisfactory,122143
Unknown,122144
Good,122149
Inadequate,122150
Unknown,122151
